Date,Open,High,Low,Close,vix,daily_return,overnight_ret,intraday_ret,yearmonth,day_rank,day_rank_rev,high_252,dist_52w
1990-12-21,330.12,332.47,330.12,331.75,22.66,0.493759844904873,0.0,0.493759844904873,1990-12,15,6,368.95,-10.08266702805258
1990-12-24,331.74,331.74,329.16,329.9,24.03,-0.5576488319517736,-0.003014318010552408,-0.554651232893244,1990-12,16,5,368.95,-10.584089985092834
1990-12-26,329.89,331.69,329.89,330.85,24.18,0.28796605031828904,-0.003031221582294741,0.2910060929400826,1990-12,17,4,368.95,-10.326602520666748
1990-12-27,330.85,331.04,328.23,328.29,24.81,-0.7737645458667064,0.0,-0.7737645458667064,1990-12,18,3,368.95,-11.020463477435959
1990-12-28,328.29,328.72,327.24,328.72,25.05,0.13098175393706502,0.0,0.13098175393706502,1990-12,19,2,368.95,-10.90391651985363
1990-12-31,328.71,330.23,327.5,330.22,26.38,0.45631540520807423,-0.0030421027014004842,0.45937148246175674,1990-12,20,1,368.95,-10.497357365496669
1991-01-02,330.2,330.75,326.45,326.45,26.62,-1.1416631336684802,-0.006056568348389302,-1.135675348273768,1991-01,1,22,368.95,-11.519176040113836
1991-01-03,326.46,326.53,321.9,321.91,27.93,-1.390718333588592,0.0030632562413757114,-1.3937388960362562,1991-01,2,21,368.95,-12.749695080634224
1991-01-04,321.91,322.35,318.87,321.0,27.19,-0.2826877077444112,0.0,-0.2826877077444112,1991-01,3,20,368.95,-12.996340967610784
1991-01-07,320.97,320.97,315.44,315.44,28.95,-1.7320872274143362,-0.009345794392512374,-1.722902451942554,1991-01,4,19,368.95,-14.503320233093914
1991-01-08,315.44,316.97,313.79,314.9,30.38,-0.17118944965762717,0.0,-0.17118944965762717,1991-01,5,18,368.95,-14.649681528662423
1991-01-09,314.9,320.73,310.93,311.49,33.3,-1.0828834550650868,0.0,-1.0828834550650868,1991-01,6,17,368.95,-15.5739260062339
1991-01-10,311.51,314.77,311.51,314.53,31.33,0.9759542842466828,0.006420751870028774,0.9694712850309761,1991-01,7,16,368.95,-14.749966120070477
1991-01-11,314.53,315.24,313.59,315.23,32.63,0.22255428734938576,0.0,0.22255428734938576,1991-01,8,15,368.95,-14.560238514703883
1991-01-14,315.23,315.23,309.35,312.49,36.2,-0.8692066110459029,0.0,-0.8692066110459029,1991-01,9,14,368.95,-15.30288656999593
1991-01-15,312.49,313.73,311.84,313.73,36.16,0.39681269800633245,0.0,0.39681269800633245,1991-01,10,13,368.95,-14.966797669060842
1991-01-16,313.73,316.94,312.94,316.17,33.2,0.7777388200044699,0.0,0.7777388200044699,1991-01,11,12,368.95,-14.305461444640189
1991-01-17,316.25,327.97,316.25,327.97,27.45,3.7321694025366225,0.02530284340702682,3.7059288537549584,1991-01,12,11,368.95,-11.107196097032109
