,LogReg_v92,ElasticNet_v92,MLP_v92,EWLogit_v92,som_ret,remaining_ret,monthly_return,Ensemble_v92
2006-12-01,0.9658048231870076,-1.7365245432462117,2.9596035777791387,1.2154739838407478,1.6651,-0.0333,1.5458,0.8510894603901706
2007-01-01,0.7428072073994885,3.2736363005773566,0.7754778114803259,-0.15532725347156645,0.9476,0.7219,1.5276,1.1591485164964013
2007-02-01,-0.9360592752791892,-4.59511985013459,-0.15849114583340165,0.19689132507793733,0.2155,-3.4509,-2.7055,-1.373194736542311
2007-03-01,1.6550158574325873,4.595119850134589,1.1654792451877376,1.6293817174176097,-0.925,2.6067,1.2607,2.261249167543131
2007-04-01,1.3632383727584723,4.595119850134589,0.7812983731024847,2.1302063535684743,2.6705,1.851,4.0588,2.217465737391005
2007-05-01,1.4915039009755195,4.595119850134589,2.1152265789330325,1.089943961048065,1.1344,2.0578,2.9819,2.322948572772802
2007-06-01,0.10145935225641521,-1.706150040906902,-0.6345622020977952,0.7249953189828341,-1.1208,-0.3805,-2.1473,-0.3785643929413619
2007-07-01,-2.3792163382750067,-4.59511985013459,-2.5223453624462824,-0.6944145504507602,1.9495,-5.31,-4.2226,-2.54777402532666
2007-08-01,2.809470035964523,4.595119850134589,0.5766723133565708,2.438361493953019,-2.4284,3.015,0.5581,2.6049059233521756
2007-09-01,1.6908062568778082,4.595119850134589,2.152231551441105,1.7124316289607218,0.6252,2.6167,2.5063,2.537647321853556
2007-10-01,2.589533348398701,4.595119850134589,1.1744573189435428,2.703757064354175,0.3971,-1.8389,0.1513,2.765716895457752
2007-11-01,-1.7393505519072923,-4.59511985013459,-0.8482648631666613,-2.18182748858936,-3.202,0.7792,-1.8098,-2.341140688449476
2007-12-01,-1.0042365911172502,-4.59511985013459,0.3743421615866271,-0.9383736269896873,-0.2482,-0.5769,-0.2757,-1.540846976663725
2008-01-01,0.4691458906023582,4.595119850134589,-0.5755758356251768,0.2581365533670441,-4.5763,-0.2378,-4.741,1.1867066146197036
2008-02-01,-0.8270981879285417,-0.12081359586028305,-0.2920934777883394,-0.8240653378622762,-3.0586,-1.0083,-4.643,-0.5160176498598601
2008-03-01,0.2719326042881434,-0.6608031233445822,-0.28666319518325767,0.5479056020603047,-2.0576,3.0647,-0.649,-0.031907028044847935
2008-04-01,1.2314374094897644,4.595119850134589,1.2368903351195306,0.05568026047318406,-1.8984,4.1494,1.1247,1.7797819638042671
