,LogReg,ElasticNet,MLP,som_ret,remaining_ret,monthly_return,vix_regime,vix_spike,Ensemble
2013-08-01,-1.0013856114188797,-2.279960392574802,0.0,-1.7363,-2.1605,-4.3296,0,0,-1.0937820013312274
2013-09-01,0.34284484386733094,-0.5740725043299146,0.0,3.6644,-0.548,2.5479,0,0,-0.07707588682086124
2013-10-01,2.0446625545441752,4.537771409211522,0.0,0.5959,3.3579,3.6307,1,0,2.1941446545852323
2013-11-01,1.1607000006493244,2.7719837702164196,0.0,1.383,0.9109,2.5073,0,0,1.3108945902885814
2013-12-01,2.774065805660295,4.595119850134589,0.0,-1.1541,3.2627,2.6353,0,0,2.4563952185982947
2014-01-01,-1.3647828302409055,-3.935812742167766,0.0,0.3401,-3.794,-2.696,0,0,-1.7668651908028907
2014-02-01,1.4290064265671818,2.8492942661185543,0.0,5.1413,1.4687,6.749,1,0,1.4261002308952453
2014-03-01,0.247723861064795,0.5896082483980659,0.0,0.6296,1.0362,1.4417,0,0,0.279110703154287
2014-04-01,1.5347172124414992,4.039403829709825,0.0,-2.5768,2.4411,-0.0833,0,0,1.8580403473837748
2014-05-01,1.084340252107499,3.3071524752345374,0.0,0.1374,1.9581,2.1177,0,0,1.4638309091140123
2014-06-01,0.6613564793493246,1.5545553711301214,0.0,0.6762,1.5117,1.8317,0,0,0.7386372834931487
2014-07-01,-0.5339068619871167,-1.4059685994334066,0.0,-0.0908,-1.5373,-2.1613,0,0,-0.6466251538068412
2014-08-01,2.0082518139174814,3.910179307462876,0.0,1.4201,2.4731,4.0631,0,0,1.9728103737934524
2014-09-01,-1.463338957506249,-2.354670819336975,0.0,-0.4368,-1.6518,-1.4978,0,0,-1.272669925614408
2014-10-01,2.7287108569493923,4.595119850134589,0.0,-3.5658,7.134,3.6939,1,0,2.441276902361327
2014-11-01,0.9965072439774657,2.3075571115940603,0.0,1.204,1.1258,2.4655,0,0,1.1013547851905086
2014-12-01,1.6754813203305736,4.595119850134589,0.0,-2.3476,2.4572,0.2659,1,0,2.0902003901550543
2015-01-01,-0.27784698874075614,-1.1534125846420948,0.0,-2.1578,0.3969,-3.0711,1,0,-0.47708652446095035
2015-02-01,2.2999790476925797,3.9711038075488374,0.0,3.4616,0.923,4.1393,1,0,2.090360951747139
2015-03-01,0.2318011870887921,0.5150986228930465,0.0,-2.5682,0.3482,-2.3378,0,0,0.24896660332727957
2015-04-01,-0.06602582704089033,-0.5551515051405979,0.0,1.7733,0.3612,1.2536,0,0,-0.20705911072716274
2015-05-01,0.8672738960699256,1.097344615844983,0.0,0.2768,-0.0827,-0.0427,0,0,0.6548728373049696
2015-06-01,-0.7687887018685582,-2.045823474282061,0.0,-0.6607,-1.3843,-2.3024,0,0,-0.9382040587168731
2015-07-01,1.0294772375896264,1.1624205353077455,0.0,1.7308,-0.5876,1.2718,0,0,0.7306325909657906
2015-08-01,-3.1074513059758413,-4.59511985013459,0.0,-0.2846,-6.5069,-5.9989,1,1,-2.567523718703477
2015-09-01,-3.6015050266865205,-4.59511985013459,0.0,3.2231,-2.82,0.3229,2,0,-2.7322082922737034
2015-10-01,2.3522229309445963,4.585337852986921,0.0,4.7121,4.0299,8.085,1,0,2.312520261310506
2015-11-01,0.5957365456516102,2.0524552899100157,0.0,-2.5913,1.8852,-1.1235,1,0,0.8827306118538752
2015-12-01,0.8233635455080254,1.5655431052470143,0.0,-2.9499,-0.3154,-2.7913,1,0,0.7963022169183466
2016-01-01,-0.31276741410127656,1.0309053309838108,0.0,-6.2623,1.7163,-3.5982,2,1,0.2393793056275114
2016-02-01,-0.5220751980690621,-0.5551598496387949,0.0,-3.3906,4.6779,-0.3687,2,0,-0.3590783492359524
2016-03-01,2.2455318935954343,4.595119850134589,0.0,1.848,2.5182,4.114,1,0,2.2802172479100076
2016-04-01,-0.0705571387707614,-0.8207694366956908,0.0,0.3675,-0.4288,-0.3609,0,0,-0.2971088584888174
2016-05-01,1.150697711964736,2.9887348649010264,0.0,-1.1348,2.0575,0.7456,0,0,1.3798108589552542
2016-06-01,0.12190471429646219,0.9611191037498578,0.0,-0.9213,0.4949,-0.0224,1,0,0.3610079393487733
2016-07-01,1.276721902673289,2.043314515717247,0.0,2.7946,0.2852,3.3596,0,0,1.1066788061301789
2016-08-01,-0.05404493907260302,-0.5104781336648452,0.0,0.5475,-0.3779,0.0051,0,0,-0.18817435757914938
